time_since,sentiment_score,f0_
-47,0,1
-18,0,8
121,0,376
187,0,3
222,0,1
816,0,1
648,-0,1
745,-0.5,1
1099,-1,1
-70,0.3,2
-68,0.3,2
-58,0.3,5
1039,0.3,1
-33,-0.3,5
11,-0.3,315
16,-0.3,233
21,-0.3,183
46,-0.3,225
51,-0.3,191
66,-0.3,215
76,-0.3,58
81,-0.3,254
86,-0.3,264
91,-0.3,196
101,-0.3,243
136,-0.3,364
141,-0.3,590
204,-0.3,1
216,-0.3,3
229,-0.3,2
3098,0.6,1
161,-0.6,11
193,-0.6,1
200,-0.6,1
322,-1.2,1
181,-0.7,7
-63,0.1,3
-38,0.1,8
-13,0.1,17
380,0.1,1
3094,0.1,1
-42,-0.1,4
-23,-0.1,6
-8,-0.1,26
-3,-0.1,145
26,-0.1,252
31,-0.1,229
41,-0.1,138
111,-0.1,232
116,-0.1,175
886,-0.1,1
-53,0.2,5
3089,0.2,1
3383,0.2,1
-28,-0.2,3
6,-0.2,192
36,-0.2,182
56,-0.2,177
61,-0.2,202
71,-0.2,84
96,-0.2,186
106,-0.2,164
126,-0.2,219
171,-0.2,4
178,-0.2,6
207,-0.2,2
131,-0.4,383
146,-0.4,268
151,-0.4,45
156,-0.4,22
166,-0.4,4
250,-0.4,1
272,-1.1,1
899,-1.1,1
